database,table,name,type,mode
northwind2_config,categories,categoryid,INTEGER,NULLABLE
northwind2_config,categories,categoryname,STRING,NULLABLE
northwind2_config,categories,description,STRING,NULLABLE
northwind2_config,categories,picture,STRING,NULLABLE
northwind2_config,customers,customerid,STRING,NULLABLE
northwind2_config,customers,companyname,STRING,NULLABLE
northwind2_config,customers,contactname,STRING,NULLABLE
northwind2_config,customers,contacttitle,STRING,NULLABLE
northwind2_config,customers,address,STRING,NULLABLE
northwind2_config,customers,city,STRING,NULLABLE
northwind2_config,customers,region,STRING,NULLABLE
northwind2_config,customers,postalcode,STRING,NULLABLE
northwind2_config,customers,country,STRING,NULLABLE
northwind2_config,customers,phone,STRING,NULLABLE
northwind2_config,customers,fax,STRING,NULLABLE
northwind2_config,employeeterritories,employeeid,INTEGER,NULLABLE
northwind2_config,employeeterritories,territoryid,STRING,NULLABLE
