database,table,name,type,mode
pagila_config,actor,actor_id,INTEGER,NULLABLE
pagila_config,actor,first_name,STRING,NULLABLE
pagila_config,actor,last_name,STRING,NULLABLE
pagila_config,actor,last_update,DATETIME,NULLABLE
pagila_config,category,category_id,INTEGER,NULLABLE
pagila_config,category,name,STRING,NULLABLE
pagila_config,category,last_update,DATETIME,NULLABLE
pagila_config,city,city_id,INTEGER,NULLABLE
pagila_config,city,city,STRING,NULLABLE
pagila_config,city,country_id,INTEGER,NULLABLE
pagila_config,city,last_update,DATETIME,NULLABLE
pagila_config,country,country_id,INTEGER,NULLABLE
pagila_config,country,country,STRING,NULLABLE
pagila_config,country,last_update,DATETIME,NULLABLE
pagila_config,film_actor,actor_id,INTEGER,NULLABLE
pagila_config,film_actor,film_id,INTEGER,NULLABLE
pagila_config,film_actor,last_update,DATETIME,NULLABLE
pagila_config,film_category,film_id,INTEGER,NULLABLE
pagila_config,film_category,category_id,INTEGER,NULLABLE
pagila_config,film_category,last_update,DATETIME,NULLABLE
pagila_config,inventory,language_id,INTEGER,NULLABLE
pagila_config,inventory,name,STRING,NULLABLE
pagila_config,inventory,last_update,DATETIME,NULLABLE
