database,table,name,type,mode
sample_db_config,Test,InvoiceNo,STRING,NULLABLE
sample_db_config,Test,StockCode,STRING,NULLABLE
sample_db_config,Test,Description,STRING,NULLABLE
sample_db_config,Test,Quantity,STRING,NULLABLE
sample_db_config,Test,InvoiceDate,STRING,NULLABLE
sample_db_config,Test,CustomerID,STRING,NULLABLE
sample_db_config,Test,Country,STRING,NULLABLE
sample_db_config,Train,InvoiceNo,STRING,NULLABLE
sample_db_config,Train,StockCode,STRING,NULLABLE
sample_db_config,Train,Description,STRING,NULLABLE
sample_db_config,Train,Quantity,STRING,NULLABLE
sample_db_config,Train,InvoiceDate,STRING,NULLABLE
sample_db_config,Train,UnitPrice,STRING,NULLABLE
sample_db_config,Train,CustomerID,STRING,NULLABLE
sample_db_config,Train,Country,STRING,NULLABLE



